"campaignid","sample","latitude","longitude","broad.macroalgae","broad.seagrasses","broad.unconsolidated","broad.sponges","broad.consolidated","broad.stony.corals","broad.ascidians","broad.bryozoa","broad.crinoids","broad.hydroids","broad.invertebrate.complex","broad.octocoral.black","broad.true.anemones","broad.sea.stars","broad.total.points.annotated","sessile.inverts"
"2020-10_south-west_stereo-BRUVs","FH11","-33.89868897","114.9388721",1,0,18,6,2,0,0,1,0,0,0,0,0,0,28,7
"2020-10_south-west_stereo-BRUVs","FH110","-33.80868897","114.8213721",3,1,12,5,5,0,0,0,0,0,0,0,0,0,26,5
"2020-10_south-west_stereo-BRUVs","FH111","-33.98618897","114.8788721",11,3,21,0,2,0,0,0,0,0,0,0,0,0,37,0
"2020-10_south-west_stereo-BRUVs","FH113","-33.72368897","114.7963721",9,12,1,3,8,0,0,0,0,0,0,0,0,0,33,3
"2020-10_south-west_stereo-BRUVs","FH12","-33.91868897","114.8963721",18,4,4,2,2,0,0,0,0,0,0,0,0,0,30,2
"2020-10_south-west_stereo-BRUVs","FH14","-33.76618897","114.8713721",15,0,11,1,7,0,0,0,0,0,0,0,0,0,34,1
"2020-10_south-west_stereo-BRUVs","FH15","-33.68868897","114.8063721",0,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0
"2020-10_south-west_stereo-BRUVs","FH16","-33.90118897","114.8563721",12,8,8,1,5,0,0,0,0,0,0,0,0,0,34,1
"2020-10_south-west_stereo-BRUVs","FH17","-33.83368897","114.8763721",17,0,13,4,1,0,0,0,0,0,0,0,0,0,35,4
"2020-10_south-west_stereo-BRUVs","FH18","-33.79118897","114.8213721",9,0,10,0,3,0,0,0,0,0,0,0,0,0,22,0
"2020-10_south-west_stereo-BRUVs","FH2","-33.91868897","114.8913721",3,7,6,1,4,0,0,0,0,0,0,0,0,0,21,1
"2020-10_south-west_stereo-BRUVs","FH20","-33.78618897","114.8738721",9,1,12,0,8,0,0,0,0,0,0,0,0,0,30,0
"2020-10_south-west_stereo-BRUVs","FH21","-33.79368897","114.8088721",16,5,2,4,10,0,0,0,0,0,0,0,0,0,37,4
"2020-10_south-west_stereo-BRUVs","FH23","-33.94618897","114.8288721",2,10,9,0,8,0,0,0,0,0,0,0,0,0,29,0
"2020-10_south-west_stereo-BRUVs","FH24","-33.66868897","114.8438721",11,0,22,1,1,0,0,0,0,0,0,0,0,0,35,1
"2020-10_south-west_stereo-BRUVs","FH25","-33.87868897","114.8163721",7,5,8,3,6,0,0,3,0,0,0,0,0,0,32,6
"2020-10_south-west_stereo-BRUVs","FH26","-33.81118897","114.8288721",5,0,0,2,7,0,0,0,0,0,0,0,0,0,14,2
"2020-10_south-west_stereo-BRUVs","FH27","-33.83618897","114.8713721",5,1,3,5,9,0,0,0,0,0,0,0,0,0,23,5
"2020-10_south-west_stereo-BRUVs","FH28","-33.76368897","114.9338721",0,0,31,0,1,0,0,0,0,0,0,0,0,0,32,0
"2020-10_south-west_stereo-BRUVs","FH30","-33.75118897","114.8888721",29,0,2,0,0,0,0,0,0,0,0,0,0,0,31,0
"2020-10_south-west_stereo-BRUVs","FH31","-33.67368897","114.8238721",27,0,6,0,4,0,0,0,0,0,0,0,0,0,37,0
"2020-10_south-west_stereo-BRUVs","FH32","-33.69618897","114.9463721",0,0,16,4,0,0,0,0,0,0,0,0,0,0,20,4
"2020-10_south-west_stereo-BRUVs","FH33","-33.70868897","114.8263721",9,5,6,5,7,0,0,0,0,0,0,0,0,0,32,5
"2020-10_south-west_stereo-BRUVs","FH34","-33.78618897","114.8838721",6,2,5,2,14,0,1,0,0,1,0,0,0,0,31,3
"2020-10_south-west_stereo-BRUVs","FH35","-33.88368897","114.9313721",0,0,18,0,2,0,0,0,0,0,0,0,0,0,20,0
"2020-10_south-west_stereo-BRUVs","FH37","-33.71118897","114.8138721",6,1,4,2,12,0,0,0,0,0,0,0,0,0,25,2
"2020-10_south-west_stereo-BRUVs","FH39","-33.90368897","114.9313721",13,0,6,6,2,0,0,1,0,0,0,0,1,0,29,8
"2020-10_south-west_stereo-BRUVs","FH40","-33.92368897","114.8888721",17,0,9,2,1,0,0,0,0,0,0,0,0,0,29,2
"2020-10_south-west_stereo-BRUVs","FH41","-33.67118897","114.8388721",11,14,0,2,7,0,0,1,0,0,0,0,0,0,35,3
"2020-10_south-west_stereo-BRUVs","FH42","-33.88118897","114.8113721",25,6,1,1,2,0,0,0,0,0,0,0,0,0,35,1
"2020-10_south-west_stereo-BRUVs","FH44","-33.77118897","114.8638721",6,10,10,2,3,0,0,0,0,0,0,0,0,0,31,2
"2020-10_south-west_stereo-BRUVs","FH45","-33.69368897","114.7988721",16,4,5,0,1,0,0,0,0,0,0,0,0,0,26,0
"2020-10_south-west_stereo-BRUVs","FH46","-33.76618897","114.9288721",5,0,24,1,0,0,0,0,0,0,0,0,0,0,30,1
"2020-10_south-west_stereo-BRUVs","FH47","-33.90618897","114.8488721",17,5,1,0,9,0,0,0,0,0,0,0,0,0,32,0
"2020-10_south-west_stereo-BRUVs","FH48","-33.79618897","114.8138721",2,3,0,5,1,0,2,1,0,0,3,0,0,0,17,9
"2020-10_south-west_stereo-BRUVs","FH49","-33.92118897","114.9163721",12,0,3,10,5,0,0,1,0,0,0,0,0,0,31,11
"2020-10_south-west_stereo-BRUVs","FH5","-33.69368897","114.9413721",2,10,2,2,8,0,0,0,0,0,0,0,0,0,24,2
"2020-10_south-west_stereo-BRUVs","FH50","-33.68118897","114.9313721",0,0,26,0,0,0,0,0,0,0,0,0,0,0,26,0
"2020-10_south-west_stereo-BRUVs","FH51","-33.90618897","114.8538721",8,18,4,2,4,0,0,0,0,0,0,0,0,0,36,2
"2020-10_south-west_stereo-BRUVs","FH52","-33.99118897","114.8888721",1,8,7,1,17,0,0,0,0,0,1,0,0,0,35,2
"2020-10_south-west_stereo-BRUVs","FH54","-33.76618897","114.9388721",24,0,9,3,0,0,0,0,0,0,0,0,0,0,36,3
"2020-10_south-west_stereo-BRUVs","FH55","-33.92368897","114.9088721",1,0,31,1,0,0,0,0,0,0,0,0,0,0,33,1
"2020-10_south-west_stereo-BRUVs","FH56","-33.83118897","114.8663721",5,5,4,3,11,0,0,0,0,1,0,0,0,0,29,4
"2020-10_south-west_stereo-BRUVs","FH57","-33.78868897","114.8113721",5,1,13,8,6,0,0,2,0,0,0,0,0,0,35,10
"2020-10_south-west_stereo-BRUVs","FH58","-33.66368897","114.8413721",11,3,14,0,4,0,0,0,0,0,0,0,0,0,32,0
"2020-10_south-west_stereo-BRUVs","FH59","-33.66868897","114.8188721",8,0,6,0,2,0,0,0,0,0,0,0,0,0,16,0
"2020-10_south-west_stereo-BRUVs","FH6","-33.70618897","114.8213721",7,3,1,0,0,0,0,0,0,0,0,0,0,0,11,0
"2020-10_south-west_stereo-BRUVs","FH60","-33.81618897","114.8213721",6,1,6,8,8,0,0,0,0,0,0,0,0,0,29,8
"2020-10_south-west_stereo-BRUVs","FH61","-33.84118897","114.8638721",12,11,0,6,0,1,0,0,0,0,0,0,0,0,30,7
"2020-10_south-west_stereo-BRUVs","FH62","-33.75618897","114.8813721",9,2,9,4,7,0,0,1,0,0,0,0,0,0,32,5
"2020-10_south-west_stereo-BRUVs","FH63","-33.67868897","114.8163721",24,0,9,0,1,0,0,0,0,0,0,0,0,0,34,0
"2020-10_south-west_stereo-BRUVs","FH64","-33.70118897","114.9388721",0,0,35,0,0,0,0,0,0,0,0,0,0,0,35,0
"2020-10_south-west_stereo-BRUVs","FH65","-33.71368897","114.8188721",11,0,4,1,3,0,0,0,0,0,0,0,0,0,19,1
"2020-10_south-west_stereo-BRUVs","FH66","-33.90618897","114.9363721",7,16,0,3,1,0,0,0,0,0,0,0,0,0,27,3
"2020-10_south-west_stereo-BRUVs","FH67","-33.88868897","114.9238721",2,0,25,0,0,0,0,0,0,0,0,0,0,0,27,0
"2020-10_south-west_stereo-BRUVs","FH68","-33.95118897","114.8288721",15,4,2,0,10,0,0,0,0,0,0,0,0,0,31,0
"2020-10_south-west_stereo-BRUVs","FH69","-33.69618897","114.8038721",6,4,0,5,8,0,0,0,0,0,0,0,0,0,23,5
"2020-10_south-west_stereo-BRUVs","FH7","-33.78368897","114.8788721",12,4,0,4,6,1,0,0,0,1,1,0,0,0,29,7
"2020-10_south-west_stereo-BRUVs","FH70","-33.67368897","114.8463721",5,0,12,7,2,0,0,0,0,0,0,0,0,0,26,7
"2020-10_south-west_stereo-BRUVs","FH71","-33.88368897","114.8188721",22,7,2,4,0,0,0,1,0,0,1,0,0,0,37,6
"2020-10_south-west_stereo-BRUVs","FH72","-33.88868897","114.9288721",2,0,0,25,0,0,0,0,0,0,0,0,0,0,27,25
"2020-10_south-west_stereo-BRUVs","FH74","-33.73118897","114.8063721",3,14,8,1,6,0,0,1,0,0,0,0,0,0,33,2
"2020-10_south-west_stereo-BRUVs","FH77","-33.99618897","114.8763721",21,1,2,1,5,0,0,0,0,0,0,0,0,0,30,1
"2020-10_south-west_stereo-BRUVs","FH78","-33.89118897","114.9163721",0,0,23,0,3,0,0,0,0,0,0,0,0,0,26,0
"2020-10_south-west_stereo-BRUVs","FH79","-33.88618897","114.8088721",12,11,0,5,7,0,0,0,0,0,0,0,0,0,35,5
"2020-10_south-west_stereo-BRUVs","FH8","-33.72368897","114.8013721",11,10,1,3,5,0,0,0,0,0,0,0,0,0,30,3
"2020-10_south-west_stereo-BRUVs","FH82","-33.68618897","114.9238721",5,0,17,2,1,0,0,3,0,0,4,0,0,0,32,9
"2020-10_south-west_stereo-BRUVs","FH83","-33.91118897","114.8463721",16,0,15,1,2,0,0,0,0,0,1,0,0,0,35,2
"2020-10_south-west_stereo-BRUVs","FH84","-33.73368897","114.7988721",8,4,7,1,8,0,0,0,0,0,0,0,0,0,28,1
"2020-10_south-west_stereo-BRUVs","FH85","-33.92618897","114.9138721",8,0,9,1,0,0,0,0,0,0,0,0,0,0,18,1
"2020-10_south-west_stereo-BRUVs","FH87","-33.92868897","114.8938721",2,7,8,0,8,0,0,0,0,0,0,0,0,0,25,0
"2020-10_south-west_stereo-BRUVs","FH89","-33.68618897","114.8013721",10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"2020-10_south-west_stereo-BRUVs","FH9","-33.90118897","114.8513721",11,0,6,2,4,0,0,0,0,0,0,0,0,0,23,2
"2020-10_south-west_stereo-BRUVs","FH92","-33.84368897","114.8713721",13,6,5,0,6,0,2,0,0,0,0,0,0,0,32,0
"2020-10_south-west_stereo-BRUVs","FH93","-33.77618897","114.8688721",0,24,0,9,4,0,0,0,0,0,0,0,0,0,37,9
"2020-10_south-west_stereo-BRUVs","FH94","-33.90868897","114.9413721",3,0,17,9,3,0,0,0,0,0,2,0,0,0,34,11
"2020-10_south-west_stereo-BRUVs","FH95","-33.75868897","114.8913721",16,0,7,5,1,0,0,0,0,0,0,0,0,0,29,5
"2020-10_south-west_stereo-BRUVs","FH96","-33.81868897","114.8338721",7,6,7,3,7,0,0,0,0,0,0,0,0,0,30,3
"2020-10_south-west_stereo-BRUVs","FH99","-33.95368897","114.8363721",23,0,5,3,2,0,0,0,0,0,0,0,0,0,33,3
"2020-10_south-west_stereo-BRUVs","FHA","-33.683135","114.937827",3,0,26,1,4,0,0,0,0,0,0,0,0,0,34,1
"2020-10_south-west_stereo-BRUVs","FHB","-33.681655","114.957127",16,0,12,4,3,0,0,2,0,0,0,0,0,0,37,6
"2020-10_south-west_stereo-BRUVs","FHC","-33.680718","114.965092",38,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
"2020-10_south-west_stereo-BRUVs","FHCO1","-33.669869","114.809825",17,0,3,3,7,0,0,0,0,0,0,0,0,0,30,3
"2020-10_south-west_stereo-BRUVs","FHCO2","-33.72358","114.813293",4,6,0,0,14,0,0,0,0,0,0,0,0,0,24,0
"2020-10_south-west_stereo-BRUVs","FHCO3","-33.948622","114.819555",2,15,0,4,0,0,0,0,0,0,0,0,0,0,21,4
"2020-10_south-west_stereo-BRUVs","FHD","-33.686897","114.958507",1,0,32,0,0,0,0,0,0,0,0,0,0,0,33,0
"2020-10_south-west_stereo-BRUVs","FHE","-33.687267","114.951172",0,0,34,0,0,0,0,0,0,0,0,0,0,0,34,0
"2020-10_south-west_stereo-BRUVs","IO1","-34.07868897","114.7788721",0,0,27,0,5,0,0,0,0,0,0,0,0,0,32,0
"2020-10_south-west_stereo-BRUVs","IO100","-34.07618897","114.9088721",17,0,6,3,7,0,0,1,0,0,0,0,0,0,34,4
"2020-10_south-west_stereo-BRUVs","IO101","-34.07868897","114.8963721",18,0,3,2,3,0,0,0,0,0,0,0,0,0,26,2
"2020-10_south-west_stereo-BRUVs","IO102","-34.07118897","114.9113721",9,16,0,4,5,2,0,0,0,0,1,0,0,0,37,7
"2020-10_south-west_stereo-BRUVs","IO105","-34.06368897","114.6688721",0,0,34,2,0,0,0,0,0,1,1,0,0,0,38,4
"2020-10_south-west_stereo-BRUVs","IO107","-34.06368897","114.6763721",0,0,35,0,0,0,0,0,0,0,0,0,0,0,35,0
"2020-10_south-west_stereo-BRUVs","IO108","-34.05118897","114.6688721",0,0,32,0,0,0,0,1,0,0,0,0,0,0,33,1
"2020-10_south-west_stereo-BRUVs","IO109","-34.05618897","114.6738721",0,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0
"2020-10_south-west_stereo-BRUVs","IO110","-34.14118897","114.7288721",0,0,34,0,0,0,0,0,0,0,0,0,0,0,34,0
"2020-10_south-west_stereo-BRUVs","IO113","-34.05868897","114.7388721",0,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0
"2020-10_south-west_stereo-BRUVs","IO115","-34.05368897","114.7363721",0,0,29,0,0,0,0,0,0,0,1,0,0,0,30,1
"2020-10_south-west_stereo-BRUVs","IO117","-34.06368897","114.7388721",0,0,34,0,0,0,0,0,0,0,0,0,0,0,34,0
"2020-10_south-west_stereo-BRUVs","IO119","-34.07618897","114.9038721",21,0,1,5,4,0,0,1,0,0,0,0,0,0,32,6
"2020-10_south-west_stereo-BRUVs","IO122","-34.11618897","114.8263721",23,0,5,0,3,0,0,0,0,0,0,0,0,0,31,0
"2020-10_south-west_stereo-BRUVs","IO123","-34.10618897","114.8188721",14,0,2,1,17,0,0,0,0,0,0,0,0,0,34,1
"2020-10_south-west_stereo-BRUVs","IO125","-34.10868897","114.8263721",11,0,4,0,15,0,0,0,0,0,0,0,0,0,30,0
"2020-10_south-west_stereo-BRUVs","IO126","-34.11368897","114.8188721",19,4,0,2,10,0,0,1,0,0,0,0,0,0,36,3
"2020-10_south-west_stereo-BRUVs","IO130","-33.98118897","114.8763721",4,2,0,0,3,0,0,0,0,0,0,0,0,0,9,0
"2020-10_south-west_stereo-BRUVs","IO132","-33.99118897","114.8713721",11,7,2,5,0,0,0,0,0,1,0,0,0,0,26,6
"2020-10_south-west_stereo-BRUVs","IO133","-33.99118897","114.8663721",15,15,0,1,1,0,0,1,0,0,0,0,0,0,33,2
"2020-10_south-west_stereo-BRUVs","IO134","-33.98368897","114.8613721",19,4,3,3,2,0,0,0,0,0,0,0,0,0,31,3
"2020-10_south-west_stereo-BRUVs","IO145","-33.98618897","114.8238721",25,1,1,2,3,0,0,0,0,0,0,0,0,0,32,2
"2020-10_south-west_stereo-BRUVs","IO146","-33.97618897","114.8213721",4,1,8,1,18,0,0,0,0,1,0,0,0,0,33,2
"2020-10_south-west_stereo-BRUVs","IO147","-33.98118897","114.8313721",25,1,1,4,3,0,0,1,0,0,0,0,0,0,35,5
"2020-10_south-west_stereo-BRUVs","IO148","-34.01118897","114.5963721",0,0,35,0,0,0,0,0,0,0,1,0,0,0,36,1
"2020-10_south-west_stereo-BRUVs","IO15","-34.06118897","114.8663721",12,16,1,0,4,0,0,0,0,0,0,0,0,0,33,0
"2020-10_south-west_stereo-BRUVs","IO152","-33.98118897","114.8688721",2,2,5,5,17,0,0,0,0,0,0,0,0,0,31,5
"2020-10_south-west_stereo-BRUVs","IO153","-34.04618897","114.8888721",12,0,7,2,9,0,0,3,0,0,0,0,0,0,33,5
"2020-10_south-west_stereo-BRUVs","IO155","-34.04368897","114.8838721",19,0,4,2,4,0,0,0,0,0,0,0,0,0,29,2
"2020-10_south-west_stereo-BRUVs","IO157","-33.97118897","114.8238721",11,0,2,12,2,0,0,2,0,0,0,0,2,0,31,16
"2020-10_south-west_stereo-BRUVs","IO158","-33.98118897","114.8188721",0,1,9,0,5,0,0,0,0,0,0,0,0,0,15,0
"2020-10_south-west_stereo-BRUVs","IO16","-34.07368897","114.8688721",10,0,17,0,6,0,0,0,0,0,0,0,0,0,33,0
"2020-10_south-west_stereo-BRUVs","IO164","-34.03368897","114.9038721",9,0,5,3,4,0,1,2,0,0,0,0,0,0,24,5
"2020-10_south-west_stereo-BRUVs","IO165","-34.04368897","114.8988721",12,0,0,4,7,0,0,1,0,1,2,0,0,0,27,8
"2020-10_south-west_stereo-BRUVs","IO17","-34.06368897","114.8763721",12,0,3,1,4,0,0,0,0,0,0,0,0,0,20,1
"2020-10_south-west_stereo-BRUVs","IO180","-33.99618897","114.7038721",0,0,36,0,0,0,0,0,0,0,0,0,0,0,36,0
"2020-10_south-west_stereo-BRUVs","IO184","-34.04118897","114.9038721",14,0,7,12,1,0,0,0,0,0,0,0,0,0,34,12
"2020-10_south-west_stereo-BRUVs","IO189","-33.98868897","114.6638721",0,0,30,0,0,0,0,1,0,0,2,0,0,0,33,3
"2020-10_south-west_stereo-BRUVs","IO191","-33.99868897","114.6713721",0,0,32,3,0,0,0,0,0,1,1,0,0,0,37,5
