campaignid,sample,latitude,longitude,date,time.bottom,site,location,visibility,image,fov.Limited,fov.Open,mean.relief,sd.relief,broad.Consolidated,broad.Macroalgae,broad.Seagrasses,broad.Sponges,broad.Stony corals,broad.Unconsolidated,broad.Unknown,Total.Sum
2021-04_FRDC_BOSS,C625,-32.228,115.6673817,8/04/2021,11:15:14,Garden Island,Perth,Moderate,Top,0,100,3.044776119,0.271518503,0,78,0,0,0,1,0,79
2021-04_FRDC_BOSS,C621,-32.2128,115.6680667,8/04/2021,11:28:53,Garden Island,Perth,Moderate,Top,0,100,3.046875,0.213042026,0,52,0,0,0,1,19,72
2021-04_FRDC_BOSS,C637,-32.210055,115.66674,8/04/2021,11:36:59,Garden Island,Perth,Moderate,Top,0,100,2.174603175,1.157579267,0,54,0,0,0,22,0,76
2021-04_FRDC_BOSS,C639,-32.19705667,115.667405,8/04/2021,11:49:13,Garden Island,Perth,Good,Top,0,100,0,0,0,0,0,0,0,78,0,78
2021-04_FRDC_BOSS,C615,-32.19867667,115.6509433,8/04/2021,12:01:13,Garden Island,Perth,Good,Top,0,100,0.06,0.239897937,0,1,0,0,0,67,0,68
2021-04_FRDC_BOSS,C646,-32.20195667,115.64891,8/04/2021,12:09:05,Garden Island,Perth,Good,Top,0,100,0.075,0.266746783,0,2,0,0,0,78,0,80
2021-04_FRDC_BOSS,C630,-32.21238667,115.6452967,8/04/2021,12:19:34,Garden Island,Perth,Good,Top,0,100,0,0,0,0,0,0,0,78,0,78
2021-04_FRDC_BOSS,C641,-32.20385333,115.631605,8/04/2021,12:30:26,Garden Island,Perth,Good,Top,0,100,1.36,0.562791874,0,37,0,0,0,36,0,73
2021-04_FRDC_BOSS,C659,-32.19605167,115.6352217,8/04/2021,12:41:50,Garden Island,Perth,Good,Top,0,100,0.1,0.30382181,0,2,0,0,0,74,0,76
2021-04_FRDC_BOSS,C608,-32.19635833,115.609915,8/04/2021,12:54:45,Garden Island,Perth,Good,Top,0,100,1.545454545,1.330805685,0,41,0,0,0,39,0,80
2021-04_FRDC_BOSS,C612,-32.19737667,115.58631,8/04/2021,13:10:00,Garden Island,Perth,Good,Top,0,100,1.307692308,0.672672794,0,23,0,0,0,50,3,76
2021-04_FRDC_BOSS,C648,-32.18672167,115.6051267,8/04/2021,13:25:22,Garden Island,Perth,Good,Top,0,100,2.777777778,0.537873755,0,74,0,0,0,3,3,80
2021-04_FRDC_BOSS,C652,-32.17921667,115.6141533,8/04/2021,13:35:14,Garden Island,Perth,Good,Top,0,100,3,0,0,61,0,0,0,0,14,75
2021-04_FRDC_BOSS,C623,-32.184125,115.6623767,8/04/2021,13:57:22,Garden Island,Perth,Moderate,Top,0,100,2.962264151,0.192380248,0,46,0,0,0,0,28,74
2021-04_FRDC_BOSS,C632,-32.17772833,115.65577,8/04/2021,14:09:50,Garden Island,Perth,Moderate,Top,0,100,0.15,0.366347549,0,0,0,0,0,74,0,74
2021-04_FRDC_BOSS,C627,-32.17282333,115.6408767,8/04/2021,14:20:10,Garden Island,Perth,Moderate,Top,0,100,0.557692308,0.607581562,0,9,0,0,0,64,0,73
2021-04_FRDC_BOSS,C651,-32.158,115.654335,8/04/2021,14:32:00,Garden Island,Perth,Moderate,Top,0,100,2.148148148,0.959705289,0,58,0,0,0,17,5,80
2021-04_FRDC_BOSS,C611,-32.15097667,115.6516183,8/04/2021,14:40:26,Garden Island,Perth,Moderate,Top,0,100,2.633333333,0.609714206,0,51,0,0,0,5,4,60
2021-04_FRDC_BOSS,C635,-32.146825,115.6524333,8/04/2021,14:48:15,Garden Island,Perth,Moderate,Top,0,100,0.533333333,0.860366134,0,2,0,0,0,77,0,79
